Country / Region,Disease,Denominator,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Ghana,Measles,"per 1,000,000 total population",2.8,41.9,1.1,0.7,1.1,0.8,4.6,12,62,4.7,25.9,4.2,3.5,0.3,18.8,19.9,2.8,93.4,607,682.1,"1,196.5",849.8,"1,271.2","2,080.6","1,962.7","2,367.2","2,102.5","2,150.7","2,551.1","1,126.8","2,182.7","1,393.2","2,900.7","1,828.6",843.1,"5,046.9","3,238.8","3,038.2","6,820","3,390.5","7,478.6"
Greece,Measles,"per 1,000,000 total population",0.3,4.3,217.7,91.6,0,0.1,0.1,0.3,0.3,3.7,13.7,0.2,0.1,0.2,,10.9,0.1,,0.4,1.1,5.1,6.3,6,12.5,561.5,10.4,15.3,47.8,330.9,132.9,24,52.6,504.9,188,104.8,148.9,121,"2,405.8",348.8,142.9,"1,398.6"
Grenada,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9,0,0,0,20.7,62.3,20.6,40.8,60.3,199.6,70,111.7,"2,791.1","18,395.2",99.3,595.3
Guam,Measles,"per 1,000,000 total population",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Measles,"per 1,000,000 total population",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0.1,2.2,20.1,1.7,10,22,950.1,266.6,20.6,46.3,195.5,275.7,382,352,521.5,465,371.1
Guinea,Measles,"per 1,000,000 total population",38.5,356.7,38.8,168.7,26.9,21.3,15.7,4.9,0.6,1.1,4.4,26.5,9.1,0.3,0.4,10.9,1.1,285.3,250.5,880.1,"1,370.5","2,235.2","1,166.6","1,327.3","1,378.9",149.3,335,758,240.8,"1,026.5","2,008.1",673.2,560.5,"1,268.2",460.4,542.7,825.3,"1,704.6","2,961.9","2,293.3","1,755.5"
Guinea-Bissau,Measles,"per 1,000,000 total population",11.2,31.2,14.9,6,0,88.1,0.6,0,0,0,17.1,0,8.3,0.7,0,0,"2,684.4",902.4,237.6,102.7,,401,,439.7,65.7,484.9,354.5,"1,636",825.2,"2,402",265.6,111.1,"1,182.2",190.6,"2,510.9","1,522.7",417,"3,876.1","1,990.4","2,640.4","1,704"
Guyana,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,1.3,14.8,"1,221.6",29,19.6,112.9,379.2,25.7,52.5,9,594.8
Haiti,Measles,"per 1,000,000 total population",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,117.2,0,0.4,0,0.1,,,,,,200.9,84.1,34.8,472.9,41.5,333.1,271.4,143.6,180,433.4,89.8
Honduras,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.7,0,0.5,2.4,11.1,18.6,"1,687.1","1,319.5",247,316.4,136.7,"1,512.7","1,210.1",289.7,625.5,"1,544.2","1,138.6"
